Chemical formula,Band gap,Crystallinity
VO2,0.12,
KI,5.61,Single crystalline
BiI3,2.195,
DyN,2.6,Polycrystalline
GdTe,1.3,
CdSe,1.84,Single crystalline
Te,0.332,Single crystalline
Ga2Te3,1.5,Single crystalline
TlCl,3.5,Single crystalline
MoS2,1.935,Single crystalline
GaN,3.39,Single crystalline
Cd3P2,0.58,Single crystalline
CuN3,4.17,Polycrystalline
AlAs,2.228,Polycrystalline
SmTe,0.62,Single crystalline
Si3N4,4.5,Amorphous
CaS,5.38,Polycrystalline
Cd3P2,0.55,
PbTe,0.34,Single crystalline
Pr2Se3,1.8,Single crystalline
ZnP2,1.85,
Ga2Se3,2.3,Single crystalline
AgBr,2.691,Single crystalline
Eu3S4,0.163,
PrO2,0.88,
RbI,6.36,Single crystalline
P,1.4,Single crystalline
GaSe,2.12,Single crystalline
Bi2O3,2.91,Polycrystalline
SnSe2,0.98,Single crystalline
InSb,0.236,Single crystalline
PbO2,2,
PbO,2.73,Single crystalline
SnO2,4.3,Polycrystalline
MnTe,1.25,Single crystalline
CdO,1.2,Single crystalline
CsI,6.2,Single crystalline
MnSi,0.8,Single crystalline
FeSi,0.1,Single crystalline
CrSb,0.2,Polycrystalline
PbO2,1.4,Polycrystalline
Bi2Se3,0.161,Single crystalline
CsCl,7.4,
CdIn,0.6,
InAs,0.41,Single crystalline
PbS,0.41,Single crystalline
SnTe,0.26,Polycrystalline
Se,1.81,Single crystalline
ZnSb,0.508,Single crystalline
Ga2Se3,2.05,Single crystalline
EuSe,1.78,Single crystalline
CdSe,1.733,Single crystalline
MoS2,0.874,Single crystalline
GaTe,1.7,
CoO,0.73,Single crystalline
PbTe,0.29,Single crystalline
As2Te3,1,Polycrystalline
Te,0.334,Single crystalline
InSe,1.19,Single crystalline
BiBr3,2.66,Polycrystalline
Sm2S3,3,Polycrystalline
NaCl,8.6,Single crystalline
AsI3,2.54,Single crystalline
MnSi,0.6,
